"","Rk","Player","Age","GP","GS","W","L","T/O","GA","SA","SV","SV%","GAA","SO","MIN","QS","QS%","RBS","GA%-","GSAA","GPS","TEAM","POS"
"1","1","John Gibson","23","52","49","25","16","9","109","1437","1328",".924","2.56","6","2950","28",".571","7","88","15.36","10.3","ANA","G"
"2","2","Jonathan Bernier","28","39","33","21","7","4","83","982","899",".915","2.89","2","1993","19",".576","4","98","1.98","6.0","ANA","G"
"3","3","Dustin Tokarski","27","1","0","0","0","0","0","5","5","1.000","0.00","0","10","0","","0","","","0.1","ANA","G"
"4","1","Mike Smith","34","55","55","19","26","9","156","1819","1663",".914","3.39","3","3202","27",".491","7","99","1.42","10.9","ARI","G"
"5","2","Louis Domingue","24","31","26","11","15","1","82","888","806",".908","3.57","0","1599","12",".462","4","107","-5.15","4.6","ARI","G"
"6","3","Marek Langhamer","22","1","0","0","0","0","1","8","7",".875","3.87","0","16","0","","0","","","0.0","ARI","G"
"7","4","Justin Peters","30","3","1","0","1","0","7","70","63",".900","3.61","0","133","0",".000","0","","","0.3","ARI","G"
"8","1","Brian Elliott","31","49","45","26","18","3","121","1338","1217",".910","2.95","2","2844","26",".578","4","104","-5.21","7.3","CGY","G"
"9","2","Chad Johnson","30","36","36","18","15","1","87","969","882",".910","3.01","3","2013","18",".500","7","104","-3.14","5.4","CGY","G"
"10","3","Jon Gillies","23","1","1","1","0","0","1","28","27",".964","1.00","0","60","1","1.000","0","","","0.3","CGY","G"
"11","4","David Rittich","24","1","0","0","0","0","1","10","9",".900","3.00","0","20","0","","0","","","0.0","CGY","G"
"12","1","Cam Talbot","29","73","73","42","22","8","171","2117","1946",".919","2.75","7","4294","43",".589","10","93","12.21","14.0","EDM","G"
"13","2","Laurent Brossoit","23","8","4","4","1","0","11","153","142",".928","2.35","0","332","2",".500","0","","","1.2","EDM","G"
"14","3","Jonas Gustavsson","32","7","5","1","3","1","17","139","122",".878","3.65","0","329","2",".400","3","","","0.2","EDM","G"
"15","1","Peter Budaj","34","53","51","27","20","3","107","1286","1179",".917","2.44","7","3029","31",".608","7","96","4.29","8.1","LAK","G"
"16","2","Jonathan Quick","31","17","17","8","5","2","35","421","386",".917","2.58","2","931","11",".647","2","96","1.43","2.7","LAK","G"
"17","3","Ben Bishop","30","7","6","2","3","2","17","170","153",".900","2.93","0","410","3",".500","2","","","0.7","LAK","G"
"18","4","Jeff Zatkoff","29","13","8","2","7","1","27","223","196",".879","3.38","0","550","2",".250","4","","","0.4","LAK","G"
"19","5","Jack Campbell","25","1","0","0","0","0","0","5","5","1.000","0.00","0","20","0","","0","","","0.1","LAK","G"
"20","1","Martin Jones","27","65","65","35","23","6","152","1725","1573",".912","2.76","2","3800","39",".600","8","102","-2.72","9.9","SJS","G"
"21","2","Aaron Dell","27","20","17","11","6","1","37","533","496",".931","2.32","1","1111","12",".706","1","80","9.13","4.2","SJS","G"
"22","1","Ryan Miller","36","54","54","18","29","6","150","1737","1587",".914","3.25","3","3212","26",".481","7","100","0.32","10.3","VAN","G"
"23","2","Jacob Markstrom","27","26","23","10","11","3","62","692","630",".910","3.05","0","1417","12",".522","2","104","-2.11","3.8","VAN","G"
"24","3","Richard Bachman","29","5","5","2","3","0","13","162","149",".920","3.05","0","295","2",".400","0","","","1.1","VAN","G"
"25","1","Corey Crawford","32","55","55","32","18","4","138","1691","1553",".918","2.96","2","3247","29",".527","7","94","8.34","11.0","CHI","G"
"26","2","Scott Darling","28","32","27","18","5","5","67","877","810",".924","2.74","2","1689","17",".630","1","88","8.90","6.2","CHI","G"
"27","1","Devan Dubnyk","30","65","63","40","19","5","141","1842","1701",".923","2.60","5","3758","39",".619","7","88","18.41","13.1","MIN","G"
"28","2","Darcy Kuemper","26","18","17","8","5","3","55","562","507",".902","3.65","0","1053","5",".294","3","113","-6.36","2.6","MIN","G"
"29","3","Alex Stalock","29","2","2","1","1","0","3","54","51",".944","1.51","0","119","2","1.000","0","","","0.5","MIN","G"
"30","1","Connor Hellebuyck","23","56","53","26","19","4","146","1572","1426",".907","3.34","4","3034","25",".472","9","107","-9.96","8.1","WPG","G"
"31","2","Michael Hutchinson","26","28","20","9","12","3","67","690","623",".903","3.40","1","1378","8",".400","1","112","-7.29","3.2","WPG","G"
"32","3","Ondrej Pavelec","29","8","8","4","4","0","26","233","207",".888","4.10","0","440","2",".250","2","","","0.7","WPG","G"
"33","4","Eric Comrie","21","1","1","1","0","0","4","39","35",".897","5.06","0","59","0",".000","0","","","0.2","WPG","G"
"34","1","Kari Lehtonen","33","59","52","22","25","7","151","1546","1395",".902","3.30","3","3177","27",".519","12","113","-17.21","7.1","DAL","G"
"35","2","Antti Niemi","33","37","30","12","12","4","95","880","785",".892","3.82","0","1729","14",".467","7","125","-18.84","3.0","DAL","G"
"36","1","Jake Allen","26","61","60","33","20","5","138","1620","1482",".915","2.79","4","3418","33",".550","11","98","2.20","9.8","STL","G"
"37","2","Carter Hutton","31","30","21","13","8","2","58","663","605",".913","2.76","4","1459","11",".524","3","101","-0.62","3.8","STL","G"
"38","3","Pheonix Copley","25","1","1","0","1","0","5","29","24",".828","6.11","0","59","0",".000","1","","","-0.1","STL","G"
"39","1","Calvin Pickard","24","50","48","15","31","2","140","1461","1321",".904","3.45","2","2820","21",".438","11","111","-13.56","7.1","COL","G"
"40","2","Semyon Varlamov","28","24","23","6","17","0","76","745","669",".898","3.92","1","1348","11",".478","5","118","-11.53","3.1","COL","G"
"41","3","Jeremy Smith","27","10","8","1","6","1","32","286","254",".888","4.09","0","543","3",".375","3","","","0.8","COL","G"
"42","4","Spencer Martin","21","3","3","0","2","1","13","96","83",".865","5.02","0","179","0",".000","1","","","0.0","COL","G"
"43","1","Pekka Rinne","34","61","61","31","19","9","144","1757","1613",".918","2.79","3","3568","34",".557","7","95","8.05","11.3","NSH","G"
"44","2","Juuse Saros","21","21","19","10","8","3","47","614","567",".923","2.70","1","1200","13",".684","1","88","6.14","4.4","NSH","G"
"45","3","Marek Mazanec","25","4","2","0","2","0","14","87","73",".839","5.41","0","178","0",".000","2","","","-0.2","NSH","G"
"46","1","Frederik Andersen","27","66","66","33","16","14","169","2052","1883",".918","3.10","4","3799","38",".576","11","95","8.58","13.1","TOR","G"
"47","2","Curtis McElhinney","33","14","10","6","7","0","36","418","382",".914","3.32","1","759","6",".600","0","100","0.17","2.5","TOR","G"
"48","3","Antoine Bibeau","22","2","2","1","1","0","4","55","51",".927","2.49","0","121","2","1.000","0","","","0.4","TOR","G"
"49","4","Jhonas Enroth","28","6","4","0","3","1","18","141","123",".872","4.59","0","274","0",".000","0","","","0.2","TOR","G"
"50","1","Carey Price","29","62","62","37","20","5","138","1794","1656",".923","2.57","3","3708","38",".613","8","89","17.25","12.6","MTL","G"
"51","2","Al Montoya","31","19","18","8","6","4","50","569","519",".912","3.09","2","1125","12",".667","2","102","-0.76","3.3","MTL","G"
"52","3","Charlie Lindgren","23","2","2","2","0","0","3","59","56",".949","1.48","0","122","2","1.000","0","","","0.6","MTL","G"
"53","1","Craig Anderson","35","40","40","25","11","4","92","1247","1155",".926","2.63","5","2421","25",".625","4","85","15.92","9.2","OTT","G"
"54","2","Mike Condon","26","40","38","19","14","6","96","1115","1019",".914","2.89","5","2304","19",".500","7","99","0.49","6.7","OTT","G"
"55","3","Chris Driedger","22","1","0","0","1","0","4","15","11",".733","7.50","0","40","0","","0","","","-0.2","OTT","G"
"56","4","Andrew Hammond","28","6","4","0","2","0","14","86","72",".837","4.67","0","206","1",".250","3","","","-0.3","OTT","G"
"57","1","Andrei Vasilevskiy","22","50","47","23","17","7","123","1480","1357",".917","3.01","2","2831","25",".532","5","96","5.08","9.3","TBL","G"
"58","2","Ben Bishop","30","32","31","16","12","3","77","870","793",".911","2.95","1","1813","16",".516","4","102","-1.71","4.9","TBL","G"
"59","3","Peter Budaj","34","7","4","3","1","0","13","128","115",".898","3.23","0","279","1",".250","0","","","0.5","TBL","G"
"60","4","Kristers Gudlevskis","24","1","0","0","0","0","0","3","3","1.000","0.00","0","11","0","","0","","","0.0","TBL","G"
"61","1","James Reimer","28","43","39","18","16","5","98","1222","1124",".920","2.92","3","2325","19",".487","4","93","7.75","8.1","FLA","G"
"62","2","Roberto Luongo","37","40","39","17","15","6","104","1217","1113",".915","3.09","1","2327","21",".538","1","99","1.32","7.4","FLA","G"
"63","3","Reto Berra","30","7","4","0","5","0","18","145","127",".876","4.02","0","313","0",".000","2","","","0.2","FLA","G"
"64","1","Petr Mrazek","24","50","44","18","21","9","145","1462","1317",".901","3.53","1","2858","19",".432","9","115","-18.48","6.5","DET","G"
"65","2","Jimmy Howard","32","26","24","10","11","1","49","675","626",".927","2.45","1","1397","16",".667","4","84","9.42","5.1","DET","G"
"66","3","Jared Coreau","25","14","14","5","4","3","41","362","321",".887","3.96","2","712","5",".357","6","131","-9.67","1.0","DET","G"
"67","1","Tuukka Rask","29","65","63","37","20","5","137","1610","1473",".915","2.58","8","3680","31",".492","14","98","2.33","9.8","BOS","G"
"68","2","Anton Khudobin","30","16","14","7","6","1","39","405","366",".904","3.05","0","885","5",".357","2","111","-3.95","1.9","BOS","G"
"69","3","Malcolm Subban","23","1","1","0","1","0","3","16","13",".813","5.88","0","31","0",".000","1","","","-0.1","BOS","G"
"70","4","Zane McIntyre","24","8","3","0","4","1","22","155","133",".858","4.51","0","333","0",".000","1","","","-0.1","BOS","G"
"71","1","Robin Lehner","25","59","58","23","26","8","152","1910","1758",".920","3.10","2","3405","32",".552","6","92","13.29","12.9","BUF","G"
"72","2","Anders Nilsson","26","26","23","10","10","4","66","857","791",".923","3.07","1","1484","11",".478","2","89","8.17","6.0","BUF","G"
"73","3","Linus Ullmark","23","1","1","0","1","0","3","36","33",".917","3.06","0","59","1","1.000","0","","","0.2","BUF","G"
"74","1","Sergei Bobrovsky","28","63","63","41","17","5","127","1854","1727",".931","2.36","7","3707","41",".651","5","79","33.45","14.9","CBJ","G"
"75","2","Joonas Korpisalo","22","14","13","7","5","1","38","401","363",".905","3.34","1","791","6",".462","2","110","-3.30","2.0","CBJ","G"
"76","3","Curtis McElhinney","33","7","5","2","1","2","15","198","183",".924","2.71","0","376","3",".600","0","","","1.4","CBJ","G"
"77","4","Anton Forsberg","24","1","1","0","1","0","4","27","23",".852","5.12","0","59","0",".000","0","","","0.0","CBJ","G"
"78","1","Henrik Lundqvist","34","57","55","31","20","4","148","1650","1502",".910","3.17","2","3240","32",".582","8","104","-5.21","9.1","NYR","G"
"79","2","Antti Raanta","27","30","26","16","8","2","61","782","721",".922","2.60","4","1617","18",".692","1","90","6.67","5.4","NYR","G"
"80","3","Magnus Hellberg","25","2","1","1","0","0","2","28","26",".929","1.53","0","79","1","1.000","0","","","0.2","NYR","G"
"81","1","Thomas Greiss","31","51","49","26","18","5","126","1453","1327",".913","3.11","3","2813","30",".612","11","100","-0.26","8.6","NYI","G"
"82","2","Jaroslav Halak","31","28","26","12","9","5","75","885","810",".915","3.25","2","1605","14",".538","3","98","1.59","5.4","NYI","G"
"83","3","Jean-Francois Berube","25","14","7","3","2","2","30","271","241",".889","3.99","0","527","3",".429","2","","","0.8","NYI","G"
"84","1","Steve Mason","28","58","54","26","21","8","143","1556","1413",".908","3.07","3","3225","26",".481","11","106","-8.34","8.2","PHI","G"
"85","2","Michal Neuvirth","28","28","24","11","11","1","64","586","522",".891","3.26","0","1364","10",".417","4","126","-13.29","1.9","PHI","G"
"86","3","Anthony Stolarz","23","7","4","2","1","1","13","181","168",".928","2.39","1","376","2",".500","1","","","1.4","PHI","G"
"87","1","Matt Murray","22","49","47","32","10","4","111","1450","1339",".923","2.78","4","2766","26",".553","4","88","14.48","10.3","PIT","G"
"88","2","Marc-Andre Fleury","32","38","34","18","10","7","107","1181","1074",".909","3.50","1","2125","16",".471","5","105","-4.80","6.4","PIT","G"
"89","3","Mike Condon","26","1","0","0","0","0","0","7","7","1.000","0.00","0","20","0","","0","","","0.1","PIT","G"
"90","4","Tristan Jarry","21","1","1","0","1","0","3","25","22",".880","3.06","0","59","0",".000","0","","","0.0","PIT","G"
"91","1","Braden Holtby","27","63","63","42","13","6","127","1690","1563",".925","","9","3680","39",".619","8","87","19.25","12.3","WSH","G"
