"","Rk","Player","Age","Pos","GP","G","A","PTS","+/-","PIM","EV","PP","SH","GW","S","S%","TOI","ATOI","OPS","DPS","PS","BLK","HIT","FOW","FOL","FO%","TEAM"
"1","1","Ryan Getzlaf","31","C","74","15","58","73","7","49","43","14","1","3","138","10.9","1559","21:04","5.5","2.1","7.6","88","99","509","503","50.3","ANA"
"2","2","Ryan Kesler","32","C","82","22","36","58","8","83","24","12","0","2","186","11.8","1747","21:18","4.1","2.4","6.5","75","146","1029","764","57.4","ANA"
"3","3","Corey Perry","31","RW","82","19","34","53","2","76","19","15","0","3","215","8.8","1453","17:43","4.0","1.8","5.8","35","81","7","13","35.0","ANA"
"4","4","Rickard Rakell","23","C","71","33","18","51","10","12","11","7","0","10","177","18.6","1234","17:23","6.0","1.9","7.8","32","81","62","85","42.2","ANA"
"5","5","Jakob Silfverberg","26","RW","79","23","26","49","10","20","22","4","0","5","227","10.1","1460","18:29","4.0","2.1","6.1","46","47","1","6","14.3","ANA"
"6","6","Cam Fowler","25","D","80","11","28","39","7","20","17","10","1","3","186","5.9","1988","24:51","3.1","5.2","8.3","134","29","0","0","","ANA"
"7","7","Andrew Cogliano","29","LW","82","16","19","35","11","26","18","0","1","2","178","9.0","1241","15:08","2.2","1.9","4.2","27","76","8","10","44.4","ANA"
"8","8","Nick Ritchie","21","LW","77","14","14","28","4","62","13","1","0","3","149","9.4","1000","12:59","1.9","1.3","3.2","24","247","4","4","50.0","ANA"
"9","9","Antoine Vermette","34","C","72","9","19","28","-7","42","13","6","0","1","88","10.2","1145","15:54","0.9","1.1","2.0","45","51","744","451","62.3","ANA"
"10","10","Sami Vatanen","25","D","71","3","21","24","3","30","9","12","0","0","117","2.6","1538","21:40","1.1","3.8","4.9","128","75","0","0","","ANA"
"11","11","Hampus Lindholm","23","D","66","6","14","20","13","36","10","4","0","2","94","6.4","1482","22:27","1.1","4.5","5.6","94","98","2","0","100.0","ANA"
"12","12","Josh Manson","25","D","82","5","12","17","14","82","11","0","1","1","88","5.7","1527","18:38","0.6","4.7","5.3","79","227","0","0","","ANA"
"13","13","Ondrej Kase","21","RW","53","5","10","15","-1","18","10","0","0","2","77","6.5","625","11:47","0.5","0.7","1.2","14","42","1","6","14.3","ANA"
"14","14","Patrick Eaves","32","RW","20","11","3","14","8","8","3","0","0","1","55","20.0","314","15:42","1.9","0.7","2.6","11","29","0","0","","ANA"
