"","key","value"
"1","Boston","David Backes"
"2","Boston","Patrice Bergeron"
"3","Boston","David Krejci"
"4","Boston","Brad Marchand"
"5","Boston","Riley Nash"
"6","Boston","David Pastrnak"
"7","Boston","Ryan Spooner"
"8","Boston","Zdeno Chara"
"9","Boston","Torey Krug"
"10","Boston","Kevan Miller"
"11","Boston",""
"12","Boston","Tuukka Rask"
"13","Buffalo","Kyle Okposo"
"14","Buffalo","Tyler Ennis"
"15","Buffalo","Marcus Foligno"
"16","Buffalo","Zemgus Girgensons"
"17","Buffalo","Evander Kane"
"18","Buffalo","Johan Larsson"
"19","Buffalo","Ryan O'Reilly"
"20","Buffalo","Nathan Beaulieu"
"21","Buffalo","Jake McCabe"
"22","Buffalo","Rasmus Ristolainen"
"23","Buffalo",""
"24","Buffalo","Robin Lehner"
"25","Detroit","Frans Nielsen"
"26","Detroit","Justin Abdelkader"
"27","Detroit","Andreas Athanasiou"
"28","Detroit","Anthony Mantha"
"29","Detroit","Gustav Nyquist"
"30","Detroit","Tomas Tatar"
"31","Detroit","Henrik Zetterberg"
"32","Detroit","Danny DeKeyser"
"33","Detroit","Mike Green"
"34","Detroit","Nick Jensen"
"35","Detroit",""
"36","Detroit","Jimmy Howard"
"37","Florida","Aleksander Barkov"
"38","Florida","Nick Bjugstad"
"39","Florida","Jonathan Huberdeau"
"40","Florida","Vincent Trocheck"
"41","Florida",""
"42","Florida",""
"43","Florida",""
"44","Florida","Keith Yandle"
"45","Florida","Aaron Ekblad"
"46","Florida","Alex Petrovic"
"47","Florida","Mark Pysyk"
"48","Florida","James Reimer"
"49","Montreal","Paul Byron"
"50","Montreal","Phillip Danault"
"51","Montreal","Jonathan Drouin"
"52","Montreal","Alex Galchenyuk"
"53","Montreal","Brendan Gallagher"
"54","Montreal","Max Pacioretty"
"55","Montreal","Andrew Shaw"
"56","Montreal","Jeff Petry"
"57","Montreal","Jordie Benn"
"58","Montreal","Shea Weber"
"59","Montreal",""
"60","Montreal","Carey Price"
"61","Ottawa","Derick Brassard"
"62","Ottawa","Ryan Dzingel"
"63","Ottawa","Mike Hoffman"
"64","Ottawa","Jean-Gabriel Pageau"
"65","Ottawa","Zack Smith"
"66","Ottawa","Mark Stone"
"67","Ottawa","Kyle Turris"
"68","Ottawa","Dion Phaneuf"
"69","Ottawa","Cody Ceci"
"70","Ottawa","Erik Karlsson"
"71","Ottawa",""
"72","Ottawa","Craig Anderson"
"73","Tampa Bay","Ryan Callahan"
"74","Tampa Bay","Steven Stamkos"
"75","Tampa Bay","Tyler Johnson"
"76","Tampa Bay","Alex Killorn"
"77","Tampa Bay","Nikita Kucherov"
"78","Tampa Bay","Vladislav Namestnikov"
"79","Tampa Bay","Ondrej Palat"
"80","Tampa Bay","Victor Hedman"
"81","Tampa Bay","Braydon Coburn"
"82","Tampa Bay","Anton Stralman"
"83","Tampa Bay",""
"84","Tampa Bay","Andrei Vasilevskiy"
"85","Toronto","Tyler Bozak"
"86","Toronto","Connor Brown"
"87","Toronto","Nazem Kadri"
"88","Toronto","Leo Komarov"
"89","Toronto","Josh Leivo"
"90","Toronto","Matt Martin"
"91","Toronto","James van Riemsdyk"
"92","Toronto","Connor Carrick"
"93","Toronto","Jake Gardiner"
"94","Toronto","Morgan Rielly"
"95","Toronto",""
"96","Toronto","Frederik Andersen"
"97","Carolina","Jordan Staal"
"98","Carolina","Phillip Di Giuseppe"
"99","Carolina","Elias Lindholm"
"100","Carolina","Brock McGinn"
"101","Carolina","Victor Rask"
"102","Carolina","Jeff Skinner"
"103","Carolina","Teuvo Teravainen"
"104","Carolina","Trevor Carrick"
"105","Carolina","Justin Faulk"
"106","Carolina","Ryan Murphy"
"107","Carolina",""
"108","Carolina",""
"109","Carolina","Scott Darling"
"110","Columbus","Brandon Dubinsky"
"111","Columbus","Nick Foligno"
"112","Columbus","Scott Hartnell"
"113","Columbus","Cam Atkinson"
"114","Columbus","Boone Jenner"
"115","Columbus","Brandon Saad"
"116","Columbus","Alexander Wennberg"
"117","Columbus","Seth Jones"
"118","Columbus","Ryan Murray"
"119","Columbus","David Savard"
"120","Columbus",""
"121","Columbus",""
"122","Columbus","Sergei Bobrovsky"
"123","New Jersey","Taylor Hall"
"124","New Jersey","Adam Henrique"
"125","New Jersey","Kyle Palmieri"
"126","New Jersey","Travis Zajac"
"127","New Jersey",""
"128","New Jersey",""
"129","New Jersey",""
"130","New Jersey","Andy Greene"
"131","New Jersey","John Moore"
"132","New Jersey","Mirco Mueller"
"133","New Jersey","Damon Severson"
"134","New Jersey",""
"135","New Jersey","Cory Schneider"
"136","NY Islanders","Andrew Ladd"
"137","NY Islanders","John Tavares"
"138","NY Islanders","Anders Lee"
"139","NY Islanders",""
"140","NY Islanders",""
"141","NY Islanders",""
"142","NY Islanders",""
"143","NY Islanders","Johnny Boychuk"
"144","NY Islanders","Travis Hamonic"
